Time,Humidity(%)
2024-01-01 00:31:01,88.6
2024-01-01 00:51:02,88.3
2024-01-01 01:11:01,91.1
2024-01-01 01:31:01,89
2024-01-01 01:51:01,88.8
2024-01-01 02:11:01,88.8
2024-01-01 02:31:01,88.8
2024-01-01 02:51:01,87.6
2024-01-01 03:11:01,87.2
2024-01-01 03:31:01,87.7
2024-01-01 03:51:01,87.6
2024-01-01 04:11:01,88.2
2024-01-01 04:31:01,88.2
2024-01-01 04:51:01,88.4
2024-01-01 05:11:01,89.2
2024-01-01 05:31:01,89.4
2024-01-01 05:51:01,88.9
2024-01-01 06:11:01,88.9
2024-01-01 06:31:01,89.2
2024-01-01 06:51:01,88.4
2024-01-01 07:11:02,88.8
2024-01-01 10:31:01,76
2024-01-01 14:51:01,80.2
2024-01-01 17:51:05,85.5
2024-01-01 21:51:01,89.8
2024-01-01 22:31:01,90.5
2024-01-01 22:51:02,90.7
2024-01-01 23:11:05,92
2024-01-01 23:31:05,92.2
2024-01-01 23:51:01,90.9
2024-01-02 00:11:09,91.7
2024-01-02 00:31:01,92.1
2024-01-02 00:51:01,92
2024-01-02 01:11:05,92.6
2024-01-02 01:31:01,91.8
2024-01-02 01:51:01,91.9
2024-01-02 02:11:01,91.7
2024-01-02 02:31:01,91.7
2024-01-02 02:51:01,92
2024-01-02 03:11:01,92.4
2024-01-02 03:31:01,92.6
2024-01-02 03:51:01,92.1
2024-01-02 04:31:01,91.5
2024-01-02 04:51:01,91.2
2024-01-02 05:11:01,92.3
2024-01-02 05:31:01,91.4
2024-01-02 05:51:01,91.5
2024-01-02 06:11:01,92
2024-01-02 06:31:01,91.8
2024-01-02 06:51:01,92.1
2024-01-02 07:11:01,91.7
2024-01-02 07:31:01,91.6
2024-01-02 08:31:01,84.2
2024-01-02 09:11:05,82.5
2024-01-02 09:31:01,79.4
2024-01-02 10:11:01,77.2
2024-01-02 10:51:01,73.2
2024-01-02 12:31:01,74.3
2024-01-02 13:11:05,72.2
2024-01-02 14:51:16,73.3
2024-01-02 16:11:01,74.6
2024-01-02 18:31:01,77
2024-01-02 18:51:01,78.3
2024-01-02 20:53:44,83.1
2024-01-02 20:53:44,83.1
2024-01-02 20:53:44,83.1
2024-01-02 22:31:01,86.7
2024-01-03 01:11:01,89.3
2024-01-03 01:31:01,88.8
2024-01-03 01:51:01,89.4
2024-01-03 02:11:01,90.4
2024-01-03 02:31:01,90.1
2024-01-03 02:51:01,90.6
2024-01-03 03:11:01,91.7
2024-01-03 03:31:01,92
2024-01-03 03:51:05,92.7
2024-01-03 04:11:01,91.8
2024-01-03 04:31:01,92.5
2024-01-03 04:51:01,91.1
2024-01-03 05:31:01,91
2024-01-03 05:51:01,90.5
2024-01-03 06:11:01,89.8
2024-01-03 06:31:01,92
2024-01-03 06:51:01,92
2024-01-03 07:11:01,91.2
2024-01-03 07:31:01,90.9
2024-01-03 07:51:01,89.2
2024-01-03 08:11:01,85.7
2024-01-03 08:31:01,82.3
2024-01-03 08:51:01,79.3
2024-01-03 09:11:01,80.1
2024-01-03 09:31:01,77.3
2024-01-03 09:51:05,77.4
2024-01-03 10:11:01,76.6
2024-01-03 10:31:01,73.8
2024-01-03 10:51:01,72.7
2024-01-03 11:11:01,71.3
2024-01-03 11:31:01,70.1
2024-01-03 11:51:05,67.7
2024-01-03 12:11:05,66.2
2024-01-03 12:31:01,65.7
2024-01-03 12:51:01,62.2
2024-01-03 13:11:01,66.8
2024-01-03 13:31:01,67.2
2024-01-03 13:51:01,67.9
2024-01-03 14:11:01,69.2
2024-01-03 14:31:01,70.5
2024-01-03 14:51:01,71.6
2024-01-03 15:11:01,70.7
2024-01-03 15:31:01,71.6
2024-01-03 15:51:01,71.4
2024-01-03 16:31:01,72.6
2024-01-03 16:51:01,73.6
2024-01-03 17:11:01,74.1
2024-01-03 18:11:01,77.9
2024-01-03 18:31:02,78.8
2024-01-03 18:51:06,80.6
2024-01-03 19:11:01,82.9
2024-01-03 19:31:01,83.1
2024-01-03 19:51:01,83.9
2024-01-03 20:11:01,85.5
2024-01-03 20:31:01,86.9
2024-01-03 20:51:01,87.6
2024-01-03 21:11:01,87.4
2024-01-03 21:31:01,87.3
2024-01-03 21:51:02,87.2
2024-01-03 22:11:01,87.6
2024-01-03 22:31:01,88.3
2024-01-03 22:51:01,88.2
2024-01-03 23:11:01,89.4
2024-01-03 23:51:01,89.5
2024-01-04 00:11:01,89.1
2024-01-04 00:31:01,89.3
2024-01-04 00:51:01,89.2
2024-01-04 01:11:01,89.2
2024-01-04 01:31:01,89.4
2024-01-04 01:51:01,89.8
2024-01-04 02:11:01,90.4
2024-01-04 02:31:01,90.4
2024-01-04 02:51:01,90.4
2024-01-04 03:11:01,90
2024-01-04 03:31:01,89.9
2024-01-04 03:51:01,91.2
2024-01-04 04:11:05,91.4
2024-01-04 04:31:01,91.3
2024-01-04 04:51:05,92.3
2024-01-04 05:11:05,92.5
2024-01-04 05:31:01,91.5
2024-01-04 05:51:05,92.8
2024-01-04 06:11:01,92.7
2024-01-04 06:31:01,91.9
2024-01-04 06:51:01,92.2
2024-01-04 07:11:01,91.6
2024-01-04 07:31:01,90.6
2024-01-04 07:51:01,86.5
2024-01-04 08:11:01,85.4
2024-01-04 08:31:01,83.6
2024-01-04 08:51:01,80
2024-01-04 09:11:01,73.1
2024-01-04 09:31:01,69.7
2024-01-04 09:51:01,68.7
2024-01-04 10:11:01,70.6
2024-01-04 10:31:01,69.1
2024-01-04 10:51:01,69.2
2024-01-04 11:11:01,67.9
2024-01-04 11:31:01,63.9
2024-01-04 12:11:01,61.4
2024-01-04 12:31:01,60.7
2024-01-04 12:51:01,62
2024-01-04 13:11:01,65.3
2024-01-04 13:31:01,67
2024-01-04 13:51:01,65.8
2024-01-04 14:11:01,65
2024-01-04 14:31:01,64.1
2024-01-04 14:51:01,63.6
2024-01-04 15:11:01,65.1
2024-01-04 15:31:01,68.3
2024-01-04 16:11:01,71.7
2024-01-04 16:31:01,72.9
2024-01-04 16:51:01,73.9
2024-01-04 17:11:01,73.5
2024-01-04 17:31:01,72.7
2024-01-04 18:11:01,74.2
2024-01-04 18:31:05,75
2024-01-04 18:51:01,76.5
2024-01-04 19:11:01,77.9
2024-01-04 19:31:01,78.1
2024-01-04 19:51:01,79.4
2024-01-04 20:11:01,79.6
2024-01-04 20:31:05,78.4
2024-01-04 20:51:01,81.2
2024-01-04 21:11:05,81.8
2024-01-04 21:31:01,80.6
2024-01-04 21:51:01,80
2024-01-04 22:11:01,81.8
2024-01-04 22:31:01,80.8
2024-01-04 22:51:01,83.6
2024-01-04 23:11:01,83.6
2024-01-04 23:31:01,84.3
2024-01-05 00:11:01,84.4
2024-01-05 00:31:01,84.7
2024-01-05 00:51:01,86
2024-01-05 01:11:05,85.1
2024-01-05 01:31:01,84.8
2024-01-05 01:51:01,83.5
2024-01-05 02:11:01,82.2
2024-01-05 02:31:01,83.4
2024-01-05 02:51:01,84.7
2024-01-05 03:11:01,86.4
2024-01-05 03:31:01,87.5
2024-01-05 03:51:05,87.4
2024-01-05 04:11:01,87.9
2024-01-05 04:31:01,87.1
2024-01-05 04:51:01,87.6
2024-01-05 05:11:01,87
2024-01-05 05:31:01,88
2024-01-05 05:51:01,88.4
2024-01-05 06:11:01,88.5
2024-01-05 06:31:01,87.9
2024-01-05 06:51:01,88
2024-01-05 07:11:01,88.7
2024-01-05 07:31:01,88.8
2024-01-05 07:51:01,86.9
2024-01-05 08:11:01,87.1
2024-01-05 08:31:01,84.5
2024-01-05 08:51:01,82.2
2024-01-05 09:11:01,80.4
2024-01-05 09:31:01,80.6
2024-01-05 09:51:01,75.3
2024-01-05 10:11:01,76.3
2024-01-05 10:31:01,73.7
2024-01-05 10:51:01,70.7
2024-01-05 11:31:01,69.6
2024-01-05 11:51:01,70.3
2024-01-05 12:51:01,66.5
2024-01-05 13:31:01,65.9
2024-01-05 13:51:01,64.7
2024-01-05 14:11:01,64.7
2024-01-05 14:31:01,63.1
2024-01-05 14:51:01,64.9
2024-01-05 15:11:01,64.2
2024-01-05 15:31:01,67.2
2024-01-05 15:51:01,68.2
