Date,Rain (mm),Temperature,Humidity(%)
2024-01-01,0,29.2,92.2
2024-01-02,0,32.2,92.6
2024-01-03,0,33.1,92.7
2024-01-04,0,33,92.8
2024-01-05,0,32.2,88.8
2024-01-06,0,30.7,90.1
2024-01-07,0.2,32.4,91.9
2024-01-08,0,29.8,93.6
2024-01-09,0.8,28.7,95.7
2024-01-10,1,31.3,95.5
2024-01-11,0,31.8,94.8
2024-01-12,0,31.3,90.4
2024-01-13,0,33,91.6
2024-01-14,0,31.6,92.6
2024-01-15,0,32.9,92.1
2024-01-16,0,31.8,88.8
2024-01-17,0,32.9,90.8
2024-01-18,0,32.1,87.3
2024-01-19,0,31.8,88.9
2024-01-20,0,31.4,94.6
2024-01-21,0,33.2,90.1
2024-01-22,0,33,93
2024-01-23,0,32.8,93.5
2024-01-24,0,32.7,91.5
2024-01-25,0,32.1,94.3
2024-01-26,0,34.2,95.3
2024-01-27,0,33.8,93.2
2024-01-28,0,33.9,91.6
2024-01-29,2.4,32.7,92.5
2024-01-30,0,32,92.2
2024-01-31,0,31.9,93.1
2024-02-01,0.2,33.2,91.6
2024-02-02,0,31.5,92.9
2024-02-03,0,33,93.3
2024-02-04,0,33,92.2
2024-02-05,0,31.9,93
2024-02-06,0,32.4,86.1
2024-02-07,0,32.9,88.6
2024-02-08,0,32.4,92.8
2024-02-09,0,33.3,90.5
2024-02-10,0,34.2,87.8
2024-02-11,0,33.3,90.5
2024-02-12,0,32.3,91.9
2024-02-13,0,34,91.1
2024-02-14,0,32.3,91.5
2024-02-15,0,33.8,89.7
2024-02-16,0,33,91.3
2024-02-17,0,35.1,91.9
2024-02-18,0,33.5,93.2
2024-02-19,0,34.3,91.1
2024-02-20,0,32.4,91
2024-02-21,0,32.8,88.1
2024-02-22,0,32.8,91.3
2024-02-23,0,33.7,89.4
2024-02-24,0,34.5,87.2
2024-02-25,0.2,33.9,90.3
2024-02-26,0,35.1,90.3
2024-02-27,0,33.8,87.2
2024-02-28,0,35.1,84.9
2024-02-29,0,34.1,86.8
2024-03-01,0,31.7,84.3
2024-03-02,0,34.2,91.2
2024-03-03,0,33.9,87.5
2024-03-04,0,33.5,88.9
2024-03-05,0,33,90.8
2024-03-06,0,33.7,91.6
2024-03-07,0,33.5,91
2024-03-08,0.6,34.4,93.6
2024-03-09,0,33.3,93.9
2024-03-10,0,33.1,93.6
2024-03-11,0,33.3,91.9
2024-03-12,0,33.2,89.2
2024-03-13,0,33.4,89.6
2024-03-14,0,33.9,88.4
2024-03-15,0,33.7,84.6
2024-03-16,0,34.7,90.6
2024-03-17,0,34,89.5
2024-03-18,0,34.3,88.9
2024-03-19,0,33.9,87.3
2024-03-20,0,33.1,85.3
2024-03-21,0,35.3,88.7
2024-03-22,2.2,33.6,89.5
2024-03-23,2.8,33.3,94.5
2024-03-24,0,34.3,93.9
2024-03-25,0,32.9,91.5
2024-03-26,0,33.5,88.1
2024-03-27,0,35.5,90.1
2024-03-28,0.6,34.4,89.3
2024-03-29,0,33.7,86.2
2024-03-30,0,34.8,91
2024-03-31,0,35,83.3
2024-04-01,4.2,33.5,91.1
2024-04-02,4,33.5,93.5
2024-04-03,0,32.7,94.8
2024-04-04,1,33.3,94.7
2024-04-05,0,33.4,94.1
2024-04-06,0,35.3,89.6
2024-04-07,0,34,91.5
2024-04-08,1.2,34.8,91.9
2024-04-09,0,35.5,92.9
2024-04-10,0,36.2,89.3
2024-04-11,4,35,91.2
2024-04-12,4.6,31.1,94.8
2024-04-13,2.4,33.6,95.2
2024-04-14,0,33.4,93.5
